"text","spam"
"Subject: business partnership ( urgent / confidential )  mr . vincent nnaji ,  standard trust bank ltd ,  lagos , nigeria .  dear sir ,  i am mr . vincent nnaji , bank manager of standard trust bank , lagos , nigeria . i have urgent and very confidential business proposition for you .  on january 6 , 1998 a foreign oil consultant foreign contractor with the nigerian national petroleum corporation mr . james herbert made a numbered time fixed deposit for twelve calendar months valued at us $ 20 m ( twenty million united states dollars ) in my branch .  upon maturity i sent a routine notification to his forwarding address but got no reply . after a month we sent a reminder and finally we discovered from his contract employers the nigerian national petroleum corporation that mr . james herbert died from an automobile accident .  on further investigation , i found out that he died without making a will and all attempts to trace his next of kin was fruitless . i therefore made further investigation and discovered that mr . james herbert did not declare any next of kin or relations in all his official documents including his bank deposit paperwork in my bank . this sum of us $ 20 m has carefully been moved out of my bank to a security company for safe - keeping . no one will ever come forward to claim it .  according to nigerian law at the expiration of 5 years the money will revert to the ownership of the nigerian government if nobody applies to claim the fund . consequently my proposal is that i will like you as a foreigner to stand in as the owner of the money i deposited it in a security company in two trunk boxes though the security company does not know the contents of the boxes as i tagged them to be photographic materials for export i am writing you because i as a public servant i cannot operate a foreign account or have an account that is more than $ 1 m .  i want to present you as the owner of the boxes in the security company so you can be able to claim them with the help of my attorney . all these are to make sure that the fruits of this old man ' s labour will not get into the hands of some corrupt government officials .  this is simple . i will like you to provide immediately your full names and address so that the attorney will prepare the necessary documents which will put you in place as the owner of the boxes . the money will be shared in the ratio of 70 % for me and 25 % for you and 5 % will take care of all expenses .  there is no risk at all as all the paperwork for this transaction will be done by the attorney and this will guarantee the successful execution of this transaction . if you are interested , please reply immediately via my private email address .  upon your response i shall then provide you with more details and relevant documents that will help you understand the transaction . please observe with utmost confidentiality and be rest assured that this transaction would be most profitable for both of us because i shall require your assistance to invest my share in your country .  awaiting your urgent reply via my private email to indicate your interest .  thanks and regards ,  mr . vincent nnaji .",1
"Subject: 100 % free hardcore megasite ! !  100 % free porn !  what more can you ask for ?  click here  removal instructions : we strive to never send unsolicited mail .  however , if you ' d rather not receive future e - mails from us ,  click here to send email and add the word remove in the subject line .  please allow 48 hours for processing .  [ ( ^ ( pol : kj ) _ 8 j 7 bjk 9 ^ "" : } h & * tgobk 5 nkiys 5 ]  - - - -  this sf . net email is sponsored by : jabber - the world ' s fastest growing  real - time communications platform ! don ' t just im . build it in !  http : / / www . jabber . com / osdn / xim  spamassassin - sightings mailing list ",1
"Subject: refinance or mortgagefkzqeljhyno  what a loan from lenderscan do for you : rates have never been lower ! ! lowest rates - best possible termsdebt this . . . your $ 8 , 750 $ 175 visa $ 10 , 500 $ 210 discover $ 5 , 250 $ 105 auto loan $ 20 , 500 $ 515 total $ 45 , 000 $ 1 , 005 into this ! ! ! $ 45 , 000 $ 390 . 06 annual savings : $ 7 , 379 . 005 - year savings : $ 36 , 896 . 00 opay off high interest credit cardsoreduce monthly paymentshome improvementopaint , landscape , carpet , add rooms / pool / spaoyou may be eligible for a tax deductionhome refinancingoreduce your monthly payments and get cash back ! oget up to 125 % of your homes value ( ratios vary by  state ) . we have hundreds of loan programs , including : purchase loansrefinancedebt consolidationhome improvementsecond sno income verificationno matter which of our 50 states you live in , welikely have a program that could meet your needs ! please  click hereone of our experienced loan officers will contact you  for more details concerning your needs . want to be purged ? just go hereand we will promptly extract you . copyright dti inc .",1
"Subject: best prizes of online cigarettes here  a fair is impartation pianist but resumption what indisposition ,  sickle not ayers .  when growl boom , napoleonic snuffer is not ketchup  colza but a canst coalesce andersen arises bertha  cohort in chemic , grammar and dixon . would you  ceruleancrank ?  no , maggot emitted teresa is bison a behave and  teardrop noontime .  if not , here - http : / / cmzcqj 4 euuivo 02 . 123 cigs 4 lessl . com / rm ",1
"Subject: you can gain from lowest interest rates in 30 years  certain chances only come around every few  decades or so . this is one . why you ask ?  because home loan rates are headed up .  have you locked in the lowest rate , in almost  thirty years , for your present home loan ?  rates haven ' t been this low in a long time . they  may well never be this low again . this is your  chance to secure a better future . you could  literally save enough money to buy that new car  you ' ve been wanting or to take that special  vacation . why wouldn ' t you jump at this chance ?  there ' s no need for you to continue to pay more  than is necessary or to continue not having the  things your family wants and needs .  we ' re a nationwide mortgage lender . we ' re not a  broker . and we can guarantee you the best rate  and the best deal possible for you . but only  if you take action today .  there is no fee or charge of any kind to see if  we can help you get more of the things you want ,  desire and need from your current pay . you can  easily determine if we can help you in just a few  short minutes . we only provide information in  terms so simple that anyone can understand them .  you won ' t need to be a lawyer to see the savings ,  this we promise .  we offer both first and second home loans and we  will be happy to show you why your current loan  is the best for you . or why you should replace  it . and once again , there ' s no risk for you . none  at all .  take a couple of minutes and use the link below  that works for you . for a couple of minutes of  your time , we can show you how to get more for  yourself and your loved ones . don ' t lose this  chance . please take action now .  click _ here  sincerely ,  james w . minick  mortbanc , inc .  your favorite stores , helpful shopping tools and great gift ideas . experience the convenience of buying online with shop @ netscape ! http : / / shopnow . netscape . com /  get your own free , personal netscape mail account today at http : / / webmail . netscape . com /",1
"Subject: your june stats  it ' s absolutely true . you will get emails like  this very soon .  quickly , send me an email and you will  get real com . miss . ion emails with this  subject line and a big , big comm _ ission  pa . yments from all the bus _ inesses you  pro _ mote .  to pro . ve it , for a limit / ed per _ iod i will  give . you 10 sign _ ups ( that will p . a . y . to  j . o . i . n . your bus . in . ess ) and i will not ask  you for a sin . gle cent / penny to get you  star - ted . use these to gen _ erate an  in . stant in . com _ e .  only the first 10 replies get 10 paid _  signups .  then sitback & watch the _ sign _ ups  join _ you inst _ antly in their droves and  without you having to do much _ at all .  at the end of march you will get  comm _ ission state _ ments showing that  you have ear . ned tens _ of thou _ s _ ands  of doll _ ars from your existing bus . . iness .  oppo . rtun . it . ies .  miss . this and def _ in . it . ely missout on  the ea - sie . st and fas . test mo . ney that  you will ever ma . ke from your bu . sin _ ess  opp . or - tuni . ty  email me on earnbigmoney @ tiscali . co . uk  please put "" yes "" in the subject line .  good luck  gavin  if i have breached your privacy please  delete yourself off my list by sending  an email to earnbigmoney @ tiscali . co . uk  with "" d "" in the subject line .",1
"Subject: [ ilug ] wilson kamela  attn : sir / madan  strictly confidential .  i am pleased to introduce myself to you . my name is mr . wilson kamela a native of south africa and a senior employee of mines and natural resources department currently on a trainning course in holland for few months .  i am writing this letter to request your assistance in order to redeem an investment with the south african mining corporation . the said investment , now valued at ( $ 15 . 5 million dollars ) fifteen million , five hundred thousand dollars only was purchased by lucio harper and contracted out to the south african mining corporation in 1977 now recognised as mines and natural resources department . this redeemable investment interest , has now matured since march last year .  since march last year , several attempts have been made to contact lucio harper without success and there is no way to contact any of his close relatives in whose favour the investment cash value can be paid .  since we have access to all lucio harper ' s information , we can claim this money with the help of my partners with the south african mines and natural resources department . all we have to do is to file claim using you as lucio harper ' s relative .  i will like to assure you that there is absolutely nothing to worry about , because it is perfectly safe with no risk involved . please ensure to keep this matter strictly confidential . my partner will file a claim for this money on your behalf from the southafrican mining corporation . when the claim is approved , you as the beneficiary  will be paid ( 25 % ) of the total amouth .  since this money can be paid directly into any bank account of your choice , you have responsibility to ensure that my partner and ireceive ( 70 % ) of the total amouth . while the balance ( 5 % ) will be set aside for any unforseen expenses in the cause of transfering this money .  i will appreciate if you can give your assurance and guarantee that our share will be well secured . please for the sake of confidentiality , reach me on my e - mail address : wilsonkamela 3000 @ mail . com . please let me know if this proposal is acceptable to you . kindly reach me immediately with any of the stated contact addresses so that better clearifications  relating to the transaction will be explained to you .  truly yours ,  wilson kamela .  - -  irish linux users ' group : ilug @ linux . ie  http : / / www . linux . ie / mailman / listinfo / ilug for ( un ) subscription information .  list maintainer : listmaster @ linux . ie",1
"Subject: some of the largest membership sites for free  get porn for free  free password to :  18 asian  huge tits xxx  free amateur hotties  free teen hotties  free and kinky  free farm sluts  free n ' famous  adults only  diligent ",1
"Subject: mail delivery failed : returning message to sender  this message was created automatically by mail delivery software .  a message that you sent could not be delivered to one or more of its  recipients . this is a permanent error . the following address ( es ) failed :  stcelebrate 2002 @ aol . com  ( ultimately generated from info @ something - to - celebrate . com )  smtp error from remote mailer after end of data :  host mailin - 01 . mx . aol . com [ 64 . 12 . 137 . 89 ] : 554 - :  ( hvu : bl ) http : / / postmaster . info . aol . com / errors / 554 hvubl . html  554 transaction failed  - - - - - - this is a copy of the message , including all the headers . - - - - - -  return - path :  received : from [ 218 . 23 . 38 . 202 ] ( helo = mailwisconsin . com )  by discostu . angelsonoccasion . com with smtp ( exim 4 . 43 )  id ldupmn - 0001 st - jh  for info @ something - to - celebrate . com ; tue , 19 jul 2005 06 : 57 : 18 - 0400  received : from 205 . 214 . 42 . 66  ( squirrelmail authenticated user projecthoneypot @ projecthoneypot . org ) ;  by mailwisconsin . com with http id j 87 gzo 24817172 ;  tue , 19 jul 2005 10 : 57 : 46 + 0000  message - id :  date : tue , 19 jul 2005 10 : 57 : 46 + 0000  subject : just to her . . .  from : "" barry castillo ""  to : info @ something - to - celebrate . com  user - agent : squirrelmail / 1 . 4 . 3 a  x - mailer : squirrelmail / 1 . 4 . 3 a  mime - version : 1 . 0  content - type : text / html ; charset = iso - 8859 - 1  content - transfer - encoding : 8 bit  x - priority : 3 ( normal )  importance : normal  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbeiivable !",1
"Subject: rreally works very good  hello , welcome to pharmonli thyroid ne s newtonian hop  - one of the leading oniine campaign pharmaceutical shops  malnutrition v  dimply g  a unfold l  l withdraw l  unarmed la  r spatio a cupboard cl  i decision sv osierbed a  classic um  andmanyother .  - save o operatic ver 50 %  - worldwide sh retaliate lpplng  - total conf impromptu identiaiity  - over 5 miiiion cust unworn omers in 130 countries  puffin have a nice day !",1
"Subject: glad i madde the move  hello , welcome to phar coolie monline sho disrespectful p  - one yellowish of the leading oniine pharmaceutical shops  labiate v  corrective g  a prostration l  l opposed l  l molecular a  encephalitis ra maillot cl  i stockjobbery sv mythicize a  analects um  andmanyother .  - s welding ave over 50 %  - worldwide sh resistance lpplng  - total confidentiaii purchasingpower ty  - over 5 miiiion customers in 130 countri canonization es  have a nice day calumniatory !",1
"Subject: a quick , cheap and convenient way to buy viagra  we are the only online pharmacy offering 100 % satisfaction money back guarantee ?  by perseverance the snail reached the ark .  i think we agree , the past is over .  true philosophy invents nothing ; it merely establishes and describes what is .",1
"Subject: do you smoke ? qrklx  lookln 4 affordabowl cigarettez ? come chick it out here !  is mclaughlin that skylarkchamfer or citron maybe fully  minstrelsy ?  i dill don ' t v continuum not decoy a binghamton  spring .  if upsetting crunch then reimove : ",1
"Subject: logo , corporate identity and website design  corporate image can say a lot of things about your  company . contemporary rhythm of life is too dynamic . sometimes it takes oniy  several seconds for  your company to be remembered or to be lost among competitors .  get your loqo , business stationery or website done  riqht now !  fast turnaround : you will see severai logo variants  in three business days .  satisfaction guaranteed : we provide unlimited  amount of changes ; you can be sure : it wiii meet your needs and fit your  business .  fiexibie discounts : ioqo improvement , additionai  formats , bulk orders , special packages .  creative design for  competitive price : have a look at it right now !",1
"Subject: well , trry it  hello , welcome to pharmon wallow line s dilative hop  - on extensible e of the leading oniine pharmaceutical shops  greasy v  marauder g  unabridged al  chromolithograph ll  acknowledgement la  r repealer ac octane l  i extrusion s quaint va  u pollination m  andmanyother .  - s nucleate ave over 50 %  - worldwide shlp rocket plng  - total confiden screechy tiaiity  - over 5 miiiion permafrost customers in 130 countries  have a backfiller nice day !",1
"Subject: luv our rolexes for the same fea - tures and lovvprices .  they are definitely the finest from rolexes , cartiers , bvlgaries ,  frankmullers , harry winstons , breguets , jaeger - lecoultre , brietilings ,  tagheuers and tudors . first of all , their overall lo 0 ks are perfect .  secondly , vievv their details . every small logo and serial number shown  speak for their elegance .  you will also flnd out how ccheap our lovely goodss are . you might even  vvant 2 or 3 vvatches for your collections . waterproof , stainlessteelbody ,  sapphire crystal surface and other lovely featuress bring you sheer feeling  for luxury .  our vvatches are reallydurable cause the manufacturers use the bestquality  substances like durable stainlesssteel and anti - scratching surface .  the vvatches sold at our cybersstore have energy - modules like  battery & quartz , anto - operating & winding , winding and non - winding ones .  the classics have hack mechanism with stainlesssteelback . we have them .  their when you promised to go . ""  "" no , i did not promise . i only smirked and bowed , and said the word  late confidences wer e really too wicked for their pea  ` bite your tongue ! ' said princess miaghkaia suddenly . ` karenina is a  splendid woman . i don ' t like her husband - but her i like very much . ' to  the window to recollect himself , and feel how he ought to behave .  ce of mind , some weath 1 erbeaten ragged old rooks ' - nests , 7 burdening  their hi gher branch",1
"Subject: we are need you tjuz s cif  mercy advertising group presents for your attention :  they need your help !  the act of terrorism in london on july , 7 2005 took the lives of many  innocent people . it was directed not against one nation , but against all  the nations .  its up to you to help the injured and the families who lost their  relatives in this tragedy .  to help click here  if you dont want to receive our advertising letters any  more , click here ",1
"Subject: healthy reproductive life  our customer speak volumes about our spur m product  "" i just wanted to write and thank you for spur - m .  i suffered from poor sperm count and motility . i found  your site and ordered spur - m fertility blend for men .  i have wondered for years what caused low semen and sperm  count , and how i could improve my fertility and help my wife  conceive . spur - m seems to have done just that ! thank you  for your support . ""  andrew h . , london , uk  "" spur - m really does help improve fertility and effectiveness  of sperm and semen motility . i used it for the past few months ,  and not only does it work - i also feel better to . i have  more energy . this is an excellent counter to low sperm count  and motility . i ' ll be buying more ! ! ! ""  franz k . , bonn , germany  http : / / rosemary . chorally . com / spur / ? sheep  for removing , pls go here  http : / / mcclure . chorally . com / rm . php",1
"Subject: important announcement : your application was approved  we tried to contact you last week about refinancing your home at a lower rate .  i would like to inform you know that you have been pre - approved .  here are the results :  * account id : [ 987 - 528 ]  * negotiable amount : $ 153 , 367 to $ 690 , 043  * rate : 3 . 70 % - 5 . 68 %  please fill out this quick form and we will have a broker contact you as soon as possible .  regards ,  shannon serrano  senior account manager  lyell national lenders , llc .  database deletion :  www . lend - bloxz . com / r . php ",1
"Subject: save your money by getting an oem software !  need in software for your pc ? just visit our site , we might have what you need . . .  best regards ,  alvaro ",1
"Subject: you will receive the best prices available on viagra online  if your sex life is good . . . then make it fantastic !  the covers of this book are too far apart .  real freedom lies in wildness , not in civilization .  with the gift of listening comes the gift of healing .",1
